epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6107,2.00414,2.5408,2.00669,0.16375,0.18494,0.10759,0.03531,2.30268,3.62203,2.29203,0.000164683,0.000164683,0.0672282
2,43.0669,2.00251,2.40775,2.05877,0.16854,0.32909,0.12664,0.0411,2.25329,3.38544,2.4585,0.000331329,0.000331329,0.0340615
3,63.1043,2.06027,2.53388,2.12041,0.13253,0.2963,0.07616,0.02842,2.21037,3.16223,2.44887,0.000497894,0.000497894,0.00089472
4,83.0269,2.03156,2.50202,2.10879,0.17612,0.21605,0.09866,0.02981,2.42622,7.03661,2.60939,0.000499725,0.000499725,0.000499725
5,102.604,2.02562,2.4749,2.05393,0.29367,0.21605,0.1561,0.05572,2.39031,3.28895,2.45268,0.000499512,0.000499512,0.000499512
6,122.006,1.99182,2.39288,2.03128,0.22634,0.30247,0.14355,0.04146,2.36751,3.99934,2.4835,0.000499237,0.000499237,0.000499237
7,141.13,1.9915,2.42243,2.02535,0.28989,0.29012,0.18432,0.07076,2.16375,2.91105,2.35586,0.000498902,0.000498902,0.000498902
8,160.538,2.00933,2.3401,2.04096,0.26662,0.26543,0.20138,0.0878,2.11781,2.75738,2.31082,0.000498505,0.000498505,0.000498505
9,179.933,2.0346,2.35594,2.09684,0.28111,0.25309,0.16342,0.06311,2.11864,2.75716,2.37757,0.000498048,0.000498048,0.000498048
10,199.182,1.95897,2.32921,2.03528,0.19867,0.24074,0.15152,0.04773,2.3441,3.09064,2.43822,0.000497531,0.000497531,0.000497531
11,218.404,2.00551,2.30722,2.05117,0.3097,0.27778,0.22996,0.09501,2.06019,2.44701,2.34228,0.000496953,0.000496953,0.000496953
12,237.814,1.95522,2.26608,2.05247,0.35158,0.29012,0.22622,0.08163,2.15258,2.45724,2.33136,0.000496315,0.000496315,0.000496315
13,257.412,1.91304,2.29602,2.02393,0.40848,0.24074,0.24243,0.09115,2.25518,2.71136,2.42524,0.000495616,0.000495616,0.000495616
14,276.804,1.93311,2.29975,2.02232,0.28952,0.2963,0.18308,0.0627,2.23939,2.8531,2.37847,0.000494858,0.000494858,0.000494858
15,296.323,1.88569,2.28485,2.01351,0.344,0.2963,0.23389,0.08441,2.09159,2.70637,2.30397,0.000494039,0.000494039,0.000494039
16,315.935,1.91257,2.19862,2.02682,0.30415,0.2963,0.20935,0.08265,2.17018,2.49095,2.29559,0.000493162,0.000493162,0.000493162
17,335.56,1.87362,2.22842,1.97506,0.38527,0.30247,0.26949,0.10324,2.06163,2.43167,2.29628,0.000492224,0.000492224,0.000492224
18,355.27,1.92007,2.22599,1.98269,0.35997,0.33951,0.21706,0.08328,2.09065,2.46111,2.25404,0.000491228,0.000491228,0.000491228
19,374.659,1.88389,2.22618,1.99948,0.36576,0.30864,0.2537,0.10104,2.12892,2.41926,2.35619,0.000490173,0.000490173,0.000490173
20,394.191,1.93636,2.22692,2.02889,0.2678,0.35185,0.1821,0.06131,2.11094,2.68245,2.31723,0.000489059,0.000489059,0.000489059
21,413.635,1.85486,2.25457,1.97798,0.31734,0.32716,0.25658,0.12385,1.95287,2.53566,2.19202,0.000487886,0.000487886,0.000487886
22,433.242,1.86575,2.19267,1.98933,0.43726,0.24074,0.25042,0.10105,2.065,2.33579,2.21575,0.000486656,0.000486656,0.000486656
23,452.739,1.88707,2.10178,1.94017,0.34633,0.33951,0.20001,0.06859,2.27132,2.42975,2.33935,0.000485368,0.000485368,0.000485368
24,472.226,1.89236,2.16003,1.94169,0.40866,0.30864,0.25953,0.09824,2.21163,2.39313,2.29012,0.000484022,0.000484022,0.000484022
25,491.953,1.83985,2.20638,1.94969,0.31261,0.32716,0.23948,0.09834,2.17522,2.35712,2.25962,0.00048262,0.00048262,0.00048262
26,511.583,1.83545,2.15268,1.90903,0.38737,0.30247,0.27159,0.10187,2.14079,2.3891,2.25688,0.00048116,0.00048116,0.00048116
