epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.44,0.83668,2.23448,0.02096,0.67674,0.43453,0.49997,0.42087,0.66832,1.51175,0.02577,0.000166165,0.000166165,0.0669332
2,321.757,0.75375,1.40918,0.01889,0.73681,0.61041,0.74804,0.60359,0.72096,1.29255,0.02774,0.000332606,0.000332606,0.0337663
3,463.42,0.72383,1.2979,0.0181,0.66668,0.63657,0.69179,0.5674,0.71987,1.37706,0.02835,0.000498144,0.000498144,0.000598545
4,601.514,0.70317,1.21048,0.01774,0.62895,0.76963,0.75405,0.64933,0.59338,0.92677,0.02268,0.000496953,0.000496953,0.000496953
5,741.012,0.68169,1.14034,0.01703,0.79397,0.7275,0.81271,0.71144,0.5699,0.77014,0.02177,0.000494592,0.000494592,0.000494592
6,880.49,0.67121,1.08178,0.01673,0.79881,0.71632,0.84766,0.73743,0.62336,0.85893,0.02475,0.000491567,0.000491567,0.000491567
7,1019.81,0.66387,1.02787,0.01658,0.73942,0.69327,0.7978,0.66874,0.70154,0.90648,0.02773,0.000487886,0.000487886,0.000487886
8,1158.92,0.64625,0.99844,0.01596,0.80075,0.6708,0.79455,0.6719,0.66602,0.82644,0.02634,0.000483561,0.000483561,0.000483561
9,1298.13,0.62905,0.99559,0.01552,0.77127,0.78882,0.85084,0.74869,0.58294,0.71382,0.02243,0.000478603,0.000478603,0.000478603
10,1435.91,0.63265,0.92631,0.01565,0.68807,0.76702,0.77143,0.66221,0.58779,0.86602,0.02271,0.000473024,0.000473024,0.000473024
11,1572.6,0.62998,0.90475,0.01563,0.81421,0.76339,0.84228,0.74999,0.52316,0.83958,0.01993,0.000466841,0.000466841,0.000466841
12,1719.88,0.60352,0.88326,0.01481,0.76462,0.81906,0.87212,0.76885,0.53948,0.66522,0.02083,0.000460071,0.000460071,0.000460071
13,1860.54,0.60663,0.85938,0.01492,0.88126,0.80829,0.89987,0.80021,0.51727,0.5937,0.01982,0.000452732,0.000452732,0.000452732
14,2002.06,0.60059,0.81363,0.01477,0.83366,0.81015,0.86864,0.77301,0.5222,0.62718,0.02007,0.000444844,0.000444844,0.000444844
15,2141.17,0.59472,0.8115,0.01454,0.83108,0.84836,0.88105,0.75156,0.58845,0.58629,0.02287,0.000436428,0.000436428,0.000436428
16,2280.44,0.57999,0.79781,0.01422,0.837,0.85744,0.89441,0.78372,0.54781,0.5546,0.02088,0.000427509,0.000427509,0.000427509
17,2424.55,0.58517,0.76188,0.01447,0.88668,0.86432,0.91125,0.81626,0.51135,0.52111,0.01977,0.00041811,0.00041811,0.00041811
18,2570.23,0.57724,0.75728,0.01426,0.86782,0.82346,0.89952,0.81127,0.51201,0.61118,0.01956,0.000408257,0.000408257,0.000408257
19,2713.27,0.55488,0.71822,0.01346,0.86965,0.83769,0.90874,0.80734,0.49853,0.53237,0.01866,0.000397977,0.000397977,0.000397977
20,2858.69,0.55686,0.7116,0.01351,0.85195,0.85298,0.88286,0.79918,0.47807,0.58428,0.01793,0.000387298,0.000387298,0.000387298
21,3001.04,0.55701,0.70315,0.01359,0.86671,0.80196,0.88783,0.78933,0.51418,0.62533,0.01958,0.00037625,0.00037625,0.00037625
22,3142.68,0.53386,0.67077,0.01297,0.85945,0.84866,0.90323,0.8096,0.44866,0.60952,0.01664,0.000364863,0.000364863,0.000364863
23,3285.1,0.5306,0.67832,0.01286,0.90848,0.84434,0.90771,0.82051,0.51596,0.54385,0.01958,0.000353167,0.000353167,0.000353167
24,3436.76,0.53646,0.65004,0.01296,0.92662,0.84973,0.93182,0.85839,0.41014,0.48713,0.01525,0.000341196,0.000341196,0.000341196
25,3580.83,0.5258,0.623,0.01279,0.85119,0.87034,0.89287,0.80327,0.48326,0.57417,0.01811,0.000328982,0.000328982,0.000328982
26,3721.39,0.51855,0.62906,0.01259,0.84197,0.86835,0.91509,0.84028,0.45662,0.57263,0.01749,0.000316558,0.000316558,0.000316558
27,3862.83,0.51012,0.63137,0.01221,0.86152,0.84706,0.88222,0.80545,0.43209,0.56801,0.0161,0.000303958,0.000303958,0.000303958
28,4002.16,0.4991,0.59009,0.01206,0.88825,0.87997,0.91143,0.84849,0.42563,0.50699,0.0159,0.000291218,0.000291218,0.000291218
29,4141.9,0.49253,0.56747,0.0119,0.88522,0.88727,0.91989,0.83868,0.47714,0.51708,0.01856,0.000278371,0.000278371,0.000278371
30,4285.98,0.47528,0.55584,0.01145,0.87228,0.85351,0.88973,0.81912,0.44285,0.55147,0.01707,0.000265453,0.000265453,0.000265453
31,4432.87,0.48894,0.57052,0.01184,0.91863,0.89239,0.92514,0.83871,0.46193,0.4785,0.01788,0.0002525,0.0002525,0.0002525
32,4582,0.47167,0.55202,0.01115,0.90686,0.89205,0.92509,0.85056,0.43351,0.44473,0.01643,0.000239547,0.000239547,0.000239547
33,4728.43,0.47232,0.55047,0.01133,0.89042,0.88637,0.90796,0.84486,0.38814,0.4946,0.01466,0.000226629,0.000226629,0.000226629
